import time: self [us] | cumulative | imported package
import time:       404 |        653 |                     queue
import time:       143 |        143 |                         cmd
import time:       272 |        272 |                         bdb
import time:        90 |         90 |                           codeop
import time:       169 |        259 |                         code
import time:       178 |        178 |                         pprint
import time:       613 |       1462 |                       pdb
import time:       130 |        130 |                               torch.distributed._pycute.typing
import time:       167 |        297 |                             torch.distributed._pycute.int_tuple
import time:       204 |        204 |                             torch.distributed._pycute.layout
import time:        80 |        581 |                           torch.distributed._pycute
import time:       609 |       1189 |                         torch.distributed._mesh_layout
import time:      3153 |       3153 |                         torch.utils._typing_utils
import time:      1316 |       1316 |                             _hashlib
import time:       177 |        177 |                             _blake2
import time:       206 |       1698 |                           hashlib
import time:       142 |        142 |                           torch.monitor
import time:        56 |         56 |                             torch.distributed.logging_handlers
import time:       171 |        226 |                           torch.distributed.c10d_logger
import time:      3096 |       3096 |                           torch.distributed.constants
import time:        58 |         58 |                               urllib
import time:       806 |        806 |                               ipaddress
import time:       728 |       1591 |                             urllib.parse
import time:       152 |       1742 |                           torch.distributed.rendezvous
import time:      1486 |       8389 |                         torch.distributed.distributed_c10d
import time:       573 |      13303 |                       torch.distributed.device_mesh
import time:       115 |        115 |                       torch.distributed.remote_device
import time:      8955 |      23834 |                     torch.distributed
import time:       246 |        246 |                                     torch.utils.data.datapipes._hook_iterator
import time:       324 |        569 |                                   torch.utils.data.datapipes._typing
import time:        99 |         99 |                                     torch.utils._import_utils
import time:        55 |         55 |                                       torch.utils.data.datapipes.utils
import time:       325 |        379 |                                     torch.utils.data.datapipes.utils.common
import time:       736 |        736 |                                     torch.utils.data.dataset
import time:       141 |        141 |                                       dill.__info__
import time:       254 |        254 |                                         dill.logger
import time:       761 |        761 |                                         _pyio
import time:       130 |        130 |                                         dill._shims
import time:        48 |         48 |                                         dill.settings
import time:        55 |         55 |                                         winreg
import time:     10317 |      11563 |                                       dill._dill
import time:       308 |        308 |                                           pathlib._abc
import time:        46 |         46 |                                               _winapi
import time:        29 |         29 |                                               nt
import time:        21 |         21 |                                               nt
import time:        21 |         21 |                                               nt
import time:        19 |         19 |                                               nt
import time:        18 |         18 |                                               nt
import time:        18 |         18 |                                               nt
import time:        18 |         18 |                                               nt
import time:       188 |        375 |                                             ntpath
import time:      3396 |       3770 |                                           pathlib._local
import time:        93 |       4170 |                                         pathlib
import time:       682 |       4852 |                                       dill.session
import time:        63 |         63 |                                         dill.pointers
import time:       142 |        205 |                                       dill.detect
import time:       176 |        176 |                                       dill.source
import time:        93 |         93 |                                       dill.temp
import time:        74 |         74 |                                       dill.objtypes
import time:       307 |      17407 |                                     dill
import time:       583 |      19203 |                                   torch.utils.data.datapipes.datapipe
import time:       135 |      19907 |                                 torch.utils.data.datapipes._decorator
import time:       120 |        120 |                                   torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       120 |        239 |                                 torch.utils.data.datapipes.dataframe.structures
import time:       400 |      20545 |                               torch.utils.data.datapipes.dataframe.dataframes
import time:      3511 |       3511 |                               torch.utils.data.datapipes.dataframe.datapipes
import time:      3188 |      27243 |                             torch.utils.data.datapipes.dataframe
import time:       227 |        227 |                                     torch.utils.data._utils.collate
import time:       126 |        126 |                                     torch.utils.data._utils.fetch
import time:       108 |        108 |                                     torch.utils.data._utils.pin_memory
import time:       111 |        111 |                                     torch.utils.data._utils.signal_handling
import time:      1020 |       1020 |                                     torch.utils.data._utils.worker
import time:       181 |       1771 |                                   torch.utils.data._utils
import time:        21 |       1792 |                                 torch.utils.data._utils.collate
import time:       218 |       2010 |                               torch.utils.data.datapipes.iter.callable
import time:       249 |        249 |                                 torch.utils.data.sampler
import time:       212 |        461 |                               torch.utils.data.datapipes.iter.combinatorics
import time:      3476 |       3476 |                               torch.utils.data.datapipes.iter.combining
import time:        83 |         83 |                                 torch.utils.data.datapipes.iter.utils
import time:       121 |        203 |                               torch.utils.data.datapipes.iter.filelister
import time:        81 |         81 |                               torch.utils.data.datapipes.iter.fileopener
import time:       222 |        222 |                               torch.utils.data.datapipes.iter.grouping
import time:       179 |        179 |                                 torch.utils.data.datapipes.utils.decoder
import time:       156 |        335 |                               torch.utils.data.datapipes.iter.routeddecoder
import time:       285 |        285 |                               torch.utils.data.datapipes.iter.selecting
import time:       264 |        264 |                               torch.utils.data.datapipes.iter.sharding
import time:       125 |        125 |                               torch.utils.data.datapipes.iter.streamreader
import time:       164 |       7621 |                             torch.utils.data.datapipes.iter
import time:       196 |        196 |                               torch.utils.data.datapipes.map.callable
import time:       159 |        159 |                               torch.utils.data.datapipes.map.combinatorics
import time:       172 |        172 |                               torch.utils.data.datapipes.map.combining
import time:       120 |        120 |                               torch.utils.data.datapipes.map.grouping
import time:       109 |        109 |                               torch.utils.data.datapipes.map.utils
import time:        91 |        843 |                             torch.utils.data.datapipes.map
import time:        88 |      35792 |                           torch.utils.data.datapipes
import time:        11 |      35803 |                         torch.utils.data.datapipes.iter
import time:        11 |      35813 |                       torch.utils.data.datapipes.iter.sharding
import time:       101 |        101 |                       torch.utils.data.graph
import time:       113 |      36026 |                     torch.utils.data.graph_settings
import time:       405 |      60916 |                   torch.utils.data.dataloader
import time:      3194 |       3194 |                   torch.utils.data.distributed
import time:       137 |      64247 |                 torch.utils.data
import time:        75 |         75 |                 torch.utils.deterministic
import time:       123 |        123 |                 torch.utils.hooks
import time:       161 |        161 |                 torch.utils.backend_registration
import time:        39 |         39 |                 torch.utils.cpp_backtrace
import time:       134 |        134 |                 torch.utils.throughput_benchmark
import time:       198 |      65517 |               torch.utils
import time:       130 |        130 |               torchgen
import time:       438 |        438 |                   torchgen.code_template
import time:       425 |        862 |                 torchgen.utils
