import time: self [us] | cumulative | imported package
import time:        78 |         78 |       gymnasium.wrappers.vector.dict_info_to_list
import time:       177 |        177 |       gymnasium.wrappers.vector.rendering
import time:       177 |        177 |         gymnasium.wrappers.utils
import time:       120 |        297 |       gymnasium.wrappers.vector.stateful_observation
import time:        84 |         84 |       gymnasium.wrappers.vector.stateful_reward
import time:       194 |        194 |         gymnasium.wrappers.transform_action
import time:      3223 |       3417 |       gymnasium.wrappers.vector.vectorize_action
import time:       305 |        305 |         gymnasium.wrappers.transform_observation
import time:       188 |        492 |       gymnasium.wrappers.vector.vectorize_observation
import time:       166 |        166 |         gymnasium.wrappers.transform_reward
import time:       177 |        343 |       gymnasium.wrappers.vector.vectorize_reward
import time:       158 |       5157 |     gymnasium.wrappers.vector
import time:       114 |        114 |     gymnasium.wrappers.atari_preprocessing
import time:       110 |        110 |       gymnasium.utils.passive_env_checker
import time:       241 |        351 |     gymnasium.wrappers.common
import time:       319 |        319 |     gymnasium.wrappers.rendering
import time:       139 |        139 |     gymnasium.wrappers.stateful_action
import time:       218 |        218 |     gymnasium.wrappers.stateful_observation
import time:        78 |         78 |     gymnasium.wrappers.stateful_reward
import time:       215 |       6588 |   gymnasium.wrappers
import time:        52 |         52 |   gymnasium.experimental
import time:       117 |        117 |   farama_notifications
import time:       230 |      33698 | gymnasium
import time:        95 |         95 |         stable_baselines3.common
import time:       179 |        179 |         stable_baselines3.common.preprocessing
import time:       874 |        874 |         stable_baselines3.common.type_aliases
import time:       606 |        606 |             cloudpickle.cloudpickle
import time:       181 |        786 |           cloudpickle
import time:        40 |         40 |             tensorboard
import time:       101 |        141 |           torch.utils.tensorboard
import time:        69 |         69 |                   packaging
import time:       106 |        106 |                   packaging._structures
import time:       566 |        740 |                 packaging.version
import time:       175 |        175 |                   matplotlib._api.deprecation
import time:       239 |        413 |                 matplotlib._api
import time:        70 |         70 |                 matplotlib._version
import time:       221 |        221 |                   shlex
import time:       347 |        347 |                   matplotlib._c_internal_utils
import time:      3845 |       4412 |                 matplotlib.cbook
import time:       128 |        128 |                 matplotlib._docstring
import time:       266 |        266 |                     matplotlib.backends.registry
import time:        93 |        358 |                   matplotlib.backends
import time:       139 |        139 |                       PIL._version
import time:       160 |        299 |                     PIL
import time:      5521 |       5521 |                       PIL.ExifTags
import time:       411 |        411 |                       PIL.ImageMode
import time:       544 |        544 |                       PIL.TiffTags
import time:      3190 |       3190 |                       PIL._binary
import time:        75 |         75 |                       PIL._deprecate
import time:        70 |         70 |                       PIL._util
import time:        50 |         50 |                               xml
import time:       112 |        162 |                             xml.parsers
import time:       402 |        402 |                             pyexpat
import time:        98 |        661 |                           xml.parsers.expat
import time:       165 |        826 |                         defusedxml.common
import time:       110 |        936 |                       defusedxml
import time:        52 |         52 |                           xml.etree
import time:       546 |        546 |                           xml.etree.ElementPath
import time:       196 |        196 |                           _elementtree
import time:       805 |       1597 |                         xml.etree.ElementTree
import time:         4 |          4 |                         _elementtree
import time:      3684 |       5284 |                       defusedxml.ElementTree
import time:       855 |        855 |                       PIL._imaging
import time:      1489 |      18370 |                     PIL.Image
import time:      4286 |       4286 |                       fractions
import time:       164 |        164 |                       PIL.ImageChops
import time:       559 |        559 |                       PIL.ImageFile
import time:       114 |        114 |                         PIL.GimpGradientFile
import time:        85 |         85 |                         PIL.GimpPaletteFile
import time:       183 |        183 |                         PIL.ImageColor
import time:        64 |         64 |                         PIL.PaletteFile
import time:       179 |        623 |                       PIL.ImagePalette
import time:        59 |         59 |                       PIL.ImageSequence
import time:      1051 |       6739 |                     PIL.PngImagePlugin
import time:      3337 |       3337 |                     matplotlib._cm
import time:       471 |        471 |                           matplotlib._path
import time:       220 |        220 |                             matplotlib.bezier
import time:       289 |        509 |                           matplotlib.path
import time:      4226 |       5205 |                         matplotlib.transforms
import time:       893 |       6098 |                       matplotlib.ticker
import time:       628 |       6725 |                     matplotlib.scale
import time:       534 |        534 |                     matplotlib._image
import time:       629 |        629 |                     matplotlib._color_data
import time:      1330 |      37960 |                   matplotlib.colors
import time:       184 |        184 |                       pyparsing.warnings
import time:       435 |        435 |                       pyparsing.util
import time:       665 |        665 |                         pyparsing.unicode
import time:      4392 |       5056 |                       pyparsing.exceptions
import time:       262 |        262 |                         pyparsing.results
import time:       277 |        539 |                       pyparsing.actions
import time:    161609 |     161609 |                       pyparsing.core
import time:       721 |        721 |                             html.entities
import time:      3386 |       4106 |                           html
import time:        28 |       4134 |                         html.entities
import time:      4908 |       9042 |                       pyparsing.helpers
import time:       292 |        292 |                       pyparsing.testing
import time:      5602 |       5602 |                       pyparsing.common
import time:       654 |     183410 |                     pyparsing
import time:      3383 |     186793 |                   matplotlib._fontconfig_pattern
import time:       365 |        365 |                   matplotlib._enums
import time:       295 |        295 |                   cycler
import time:       597 |     226365 |                 matplotlib.rcsetup
import time:      4411 |       4411 |                 matplotlib.ft2font
import time:        93 |         93 |                 dateutil._version
import time:      3156 |       3156 |                   kiwisolver.exceptions
import time:       267 |       3423 |                 kiwisolver._cext
import time:      5323 |       5323 |                   numpy.ma.core
import time:       591 |        591 |                   numpy.ma.extras
import time:       216 |       6128 |                 numpy.ma
import time:      4664 |       4664 |                     matplotlib.artist
import time:       801 |       5465 |                   matplotlib.colorizer
import time:      3757 |       3757 |                   matplotlib._cm_listed
import time:       437 |        437 |                   matplotlib._cm_multivar
import time:       496 |        496 |                   matplotlib._cm_bivar
import time:      7777 |      17928 |                 matplotlib.cm
import time:      7435 |     271540 |               matplotlib
import time:        90 |         90 |               matplotlib._blocking_input
import time:       119 |        119 |                   matplotlib._pylab_helpers
import time:      3638 |       3757 |                 matplotlib.backend_tools
import time:      1007 |       1007 |                     plistlib
import time:       719 |        719 |                       matplotlib._mathtext_data
import time:       336 |       1055 |                     matplotlib._afm
import time:      6158 |       8219 |                   matplotlib.font_manager
import time:       215 |        215 |                     matplotlib.hatch
import time:       570 |        570 |                       matplotlib.markers
import time:      6233 |       6803 |                     matplotlib.lines
import time:     31193 |      38210 |                   matplotlib.patches
import time:      3810 |       3810 |                     matplotlib._text_helpers
import time:       970 |        970 |                     matplotlib.dviread
import time:     10297 |      10297 |                       matplotlib._mathtext
import time:       262 |      10558 |                     matplotlib.mathtext
import time:       332 |        332 |                     matplotlib.texmanager
import time:       523 |      16191 |                   matplotlib.textpath
import time:      5255 |      67873 |                 matplotlib.text
import time:       204 |        204 |                 matplotlib._tight_bbox
import time:     26762 |      26762 |                   matplotlib.collections
import time:      4622 |      31383 |                 matplotlib.widgets
import time:       333 |        333 |                 matplotlib.backend_managers
import time:       164 |        164 |                     matplotlib._layoutgrid
import time:       230 |        393 |                   matplotlib._constrained_layout
import time:        91 |         91 |                   matplotlib._tight_layout
import time:      3235 |       3718 |                 matplotlib.layout_engine
import time:      1705 |     108970 |               matplotlib.backend_bases
import time:      5946 |       5946 |                       matplotlib.image
import time:     10032 |      15978 |                     matplotlib.offsetbox
import time:       171 |        171 |                       matplotlib.units
import time:     10048 |      10218 |                     matplotlib.axis
import time:      2324 |       2324 |                     matplotlib.gridspec
import time:      1011 |       1011 |                     matplotlib.spines
import time:      2799 |       2799 |                     matplotlib.table
import time:      6246 |      38573 |                   matplotlib.axes._base
import time:      3626 |       3626 |                           calendar
import time:       794 |        794 |                           six
import time:        66 |         66 |                           dateutil._common
import time:        36 |         36 |                             six.moves
import time:      3229 |       3229 |                             dateutil.tz._common
import time:       144 |        144 |                             dateutil.tz._factories
import time:        29 |         29 |                               six.moves.winreg
import time:       142 |        170 |                             dateutil.tz.win
import time:       506 |       4083 |                           dateutil.tz.tz
import time:       781 |       9347 |                         dateutil.parser._parser
import time:       229 |        229 |                         dateutil.parser.isoparser
import time:       145 |       9720 |                       dateutil.parser
import time:       181 |       9900 |                     matplotlib.category
import time:      1577 |       1577 |                     matplotlib.contour
import time:       601 |        601 |                       dateutil.rrule
import time:      3531 |       4131 |                     matplotlib.dates
import time:       524 |        524 |                     matplotlib.inset
import time:       150 |        150 |                       matplotlib.container
import time:      3320 |       3320 |                       matplotlib.legend_handler
import time:      1139 |       4608 |                     matplotlib.legend
import time:       229 |        229 |                     matplotlib.mlab
import time:      5188 |       5188 |                     matplotlib.quiver
import time:       102 |        102 |                     matplotlib.stackplot
import time:       273 |        273 |                     matplotlib.streamplot
import time:       180 |        180 |                       matplotlib.tri._triangulation
import time:       743 |        743 |                       matplotlib.tri._tricontour
import time:      3338 |       3338 |                       matplotlib.tri._trifinder
import time:       121 |        121 |                         matplotlib.tri._tritools
import time:       449 |        570 |                       matplotlib.tri._triinterpolate
import time:       554 |        554 |                       matplotlib.tri._tripcolor
import time:        90 |         90 |                       matplotlib.tri._triplot
import time:       105 |        105 |                       matplotlib.tri._trirefine
import time:       142 |       5719 |                     matplotlib.tri
import time:      4272 |       4272 |                     matplotlib.axes._secondary_axes
import time:     14121 |      50639 |                   matplotlib.axes._axes
import time:       121 |      89332 |                 matplotlib.axes
import time:     10446 |      10446 |                 matplotlib.projections.geo
import time:      9730 |       9730 |                 matplotlib.projections.polar
import time:       106 |        106 |                   mpl_toolkits
import time:       130 |        130 |                       mpl_toolkits.mplot3d.proj3d
import time:     15087 |      15217 |                     mpl_toolkits.mplot3d.art3d
import time:      5541 |       5541 |                     mpl_toolkits.mplot3d.axis3d
import time:      7413 |      28169 |                   mpl_toolkits.mplot3d.axes3d
import time:       147 |      28421 |                 mpl_toolkits.mplot3d
import time:       222 |     138149 |               matplotlib.projections
import time:      1023 |       1023 |               matplotlib.colorbar
import time:      6013 |     525781 |             matplotlib.figure
import time:       542 |        542 |                   _sysconfigdata__linux_x86_64-linux-gnu
import time:       298 |        840 |                 pandas.compat._constants
import time:        57 |         57 |                     pandas.util
import time:       477 |        534 |                   pandas.util.version
import time:       220 |        754 |                 pandas.compat.numpy
import time:       163 |        163 |                     pyarrow._generated_version
import time:       216 |        216 |                       pyarrow.util
